Category,Subcategory,Quantity,2020_Sales
"Office Supplies",Binders,7813,295898.52
"Office Supplies",Paper,5146,99944.14
"Office Supplies",Storage,4312,307833.34
Furniture,Furnishings,3960,87947.74
Technology,Accessories,3585,192701.11
"Office Supplies",Art,3147,24603.31
Technology,Phones,3101,262972.66
Furniture,Chairs,2978,358158.44
"Office Supplies",Appliances,1740,92157.66
Furniture,Tables,1320,201492.77
"Office Supplies",Labels,1098,9925.13
"Office Supplies",Fasteners,939,3150.16
Furniture,Bookcases,859,119554.72
"Office Supplies",Envelopes,771,10407.08
"Office Supplies",Supplies,515,50061.13
Technology,Copiers,221,210037.83
Technology,Machines,146,58655.64
