State,2020_Sales,2020_Profit
"New York",106780.1,25670.30
California,137646.46,13505.39
Texas,68579.41,11520.02
Washington,47843.85,5094.05
Wisconsin,21531.55,5060.50
Pennsylvania,36829.96,4338.06
Illinois,34373.16,4039.96
Georgia,14059.39,3761.39
Minnesota,12829.29,2920.48
Michigan,11497.6,2622.87
Florida,14961.56,2179.37
Delaware,10734.28,2086.89
Ohio,19479.99,2009.07
Louisiana,4977.43,1572.47
Indiana,9169.77,1517.28
Massachusetts,6992.31,1501.57
Mississippi,7718.93,1268.76
Missouri,4073.54,1238.67
Arizona,25711.56,1201.74
Kentucky,10361.6,1063.15
Tennessee,10360.36,958.90
Iowa,2176.24,641.62
Virginia,8584.66,607.79
Nebraska,3429.1,598.76
"New Mexico",1936.78,567.43
"Rhode Island",2880.23,500.57
Oklahoma,3448.62,479.68
"South Dakota",1760.01,444.41
Oregon,2033.26,400.01
"New Jersey",9519.71,276.29
Nevada,974.9,196.46
Maryland,626.18,163.41
Connecticut,8146.44,154.06
"New Hampshire",492.2,13.32
Kansas,979.63,-52.07
Arkansas,1073.82,-180.57
Alabama,7523.33,-725.21
Utah,6538.15,-1114.90
Colorado,17550.21,-2044.96
"North Carolina",37029.7,-2617.73
