State,Orders,2020_Sales,2020_Profit
California,676,137646.46,13505.39
"New York",362,106780.1,25670.30
Texas,312,68579.41,11520.02
Illinois,219,34373.16,4039.96
Washington,186,47843.85,5094.05
Pennsylvania,171,36829.96,4338.06
Ohio,137,19479.99,2009.07
"North Carolina",110,37029.7,-2617.73
Arizona,101,25711.56,1201.74
Colorado,96,17550.21,-2044.96
Florida,84,14961.56,2179.37
Michigan,67,11497.6,2622.87
Indiana,65,9169.77,1517.28
Tennessee,63,10360.36,958.90
Georgia,61,14059.39,3761.39
Wisconsin,57,21531.55,5060.50
Kentucky,56,10361.6,1063.15
Virginia,55,8584.66,607.79
"New Jersey",45,9519.71,276.29
Alabama,39,7523.33,-725.21
Utah,36,6538.15,-1114.90
Minnesota,35,12829.29,2920.48
Connecticut,33,8146.44,154.06
Massachusetts,33,6992.31,1501.57
Delaware,32,10734.28,2086.89
"Rhode Island",26,2880.23,500.57
Mississippi,25,7718.93,1268.76
Louisiana,23,4977.43,1572.47
Oregon,14,2033.26,400.01
Maryland,13,626.18,163.41
Missouri,13,4073.54,1238.67
"New Mexico",13,1936.78,567.43
Iowa,10,2176.24,641.62
Oklahoma,10,3448.62,479.68
Arkansas,8,1073.82,-180.57
"South Dakota",8,1760.01,444.41
Nebraska,8,3429.1,598.76
Nevada,4,974.9,196.46
"New Hampshire",3,492.2,13.32
Kansas,3,979.63,-52.07
