Category,Subcategory,Quantity,Sales
Furniture,Chairs,600,64196.41
"Office Supplies",Binders,415,30768.68
"Office Supplies",Storage,364,24929.24
Technology,Machines,9,18374.9
Furniture,Furnishings,475,10333.32
"Office Supplies",Appliances,162,10176.72
Technology,Phones,167,8961.42
"Office Supplies",Paper,412,8156.83
Technology,Accessories,263,7542.86
Furniture,Bookcases,24,5184.08
Furniture,Tables,57,4428.77
Technology,Copiers,7,4399.92
"Office Supplies",Art,236,2810.14
"Office Supplies",Envelopes,136,2603.5
"Office Supplies",Labels,115,1155.52
"Office Supplies",Supplies,35,120.32
