Product_Name,Subcategory,Quantity,Sales
"Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat",Chairs,128,17549
"SAFCO Arco Folding Chair",Chairs,117,11572.78
"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling",Accessories,105,1409.53
"Xerox 1893",Paper,88,1434.65
"Global Wood Trimmed Manager's Task Chair, Khaki",Chairs,84,4166.88
"Global Push Button Manager's Chair, Indigo",Chairs,72,2185.95
"Advantus Rolling Drawer Organizers",Storage,66,1115.92
"Howard Miller 13" Diameter Goldtone Round Wall Clock",Furnishings,64,1117.43
"Eldon Image Series Desk Accessories, Burgundy",Furnishings,64,426.56
"Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back",Chairs,63,3989.73
"Globe Weis Peel & Seel First Class Envelopes",Envelopes,63,375.73
"Newell 35",Art,54,93.15
"Xerox 1909",Paper,54,1941.57
"ACCOHIDE 3-Ring Binder, Blue, 1"",Binders,52,147.03
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Binders,50,179.01
"Computer Room Manger, 14"",Furnishings,49,636.61
"Computer Printout Paper with Letter-Trim Perforations",Paper,49,405.96
"Mediabridge Sport Armband iPhone 5s",Phones,49,257.74
"Fellowes Bankers Box Stor/Drawer Steel Plus",Storage,48,1426.31
"Case Logic 2.4GHz Wireless Keyboard",Accessories,48,1229.75
"Xerox 1917",Paper,45,1222.75
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Chairs,42,1589.41
"Ibico Hi-Tech Manual Binding System",Binders,42,5535.59
"Avery Heavy-Duty EZD View Binder with Locking Rings",Binders,40,170.98
"Xerox 1964",Paper,40,721.74
"Letter Size Cart",Storage,40,4600.09
"Ibico Plastic Spiral Binding Combs",Binders,39,1100.48
"Stanley Contemporary Battery Pencil Sharpeners",Art,36,293.7
"Canvas Sectional Post Binders",Binders,36,422.64
"Recycled Eldon Regeneration Jumbo File",Storage,36,471.55
"Prang Colored Pencils",Art,35,90.55
"GBC VeloBind Cover Sets",Binders,33,342.77
"Staple holder",Appliances,31,421.27
"Bevis Steel Folding Chairs",Chairs,30,1775.07
"Nu-Dell Executive Frame",Furnishings,30,409.54
"Hon Non-Folding Utility Tables",Tables,30,3775.65
"Companion Letter/Legal File, Black",Storage,30,611.71
"Carina Mini System Audio Rack, Model AR050B",Storage,30,2730.11
"Standard Rollaway File with Lock",Storage,30,6594.95
"DAX Wood Document Frame",Furnishings,28,839.68
"Boston School Pro Electric Pencil Sharpener, 1670",Art,28,873.64
"Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology",Accessories,28,1247.84
"Hon 61000 Series Interactive Training Tables",Tables,27,653.12
"Fashion Color Clasp Envelopes",Envelopes,27,77.9
"Cisco IP Phone 7961G VoIP phone - Dark gray",Phones,27,1386.69
"Fellowes 8 Outlet Superior Workstation Surge Protector",Appliances,25,759.12
"Avery 492",Labels,25,53.57
"Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...",Accessories,25,467.22
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Bookcases,24,5184.08
"Global Deluxe High-Back Manager's Chair",Chairs,24,8665.19
"Tenex Chairmats For Use with Hard Floors",Furnishings,24,467.71
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furnishings,24,434.56
"12-1/2 Diameter Round Wall Clock",Furnishings,24,551.45
"Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags",Appliances,24,91.69
"Newell 32",Art,24,47.23
"GBC Standard Therm-A-Bind Covers",Binders,24,466
"Cameo Buff Policy Envelopes",Envelopes,24,1555.75
"Xerox 195",Paper,24,164.33
"Maxell Pro 80 Minute CD-R, 10/Pack",Accessories,24,374.07
"Staple envelope",Envelopes,22,594.11
"Avery 499",Labels,22,176.29
"Lock-Up Easel 'Spel-Binder'",Binders,21,704.69
"Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black",Phones,21,272.89
"Luxo Economy Swing Arm Lamp",Furnishings,20,338.98
"Eldon "L" Workstation Diamond Chairmat",Furnishings,20,1002.94
"Staple-on labels",Labels,20,53.75
"Acme Value Line Scissors",Supplies,20,76.65
"Jabra Supreme Plus Driver Edition Headset",Phones,20,2159.82
"Hoover Upright Vacuum With Dirt Cup",Appliances,18,6832.91
"Newell 350",Art,18,62.32
"Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders",Binders,18,51.18
"Alphabetical Labels for Top Tab Filing",Labels,18,518
"Tennsco Industrial Shelving",Storage,18,1281.44
"Harbour Creations 67200 Series Stacking Chairs",Chairs,16,1501.9
"Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector",Appliances,16,516.22
"Insertable Tab Post Binder Dividers",Binders,16,66.57
"GBC DocuBind 300 Electric Binding Machine",Binders,16,13570.28
"Ibico Ibimaster 300 Manual Binding System",Binders,16,7985.38
"White GlueTop Scratch Pads",Paper,16,186.5
"Master Caster Door Stop, Large Brown",Furnishings,15,59.7
"Master Giant Foot Doorstop, Safety Yellow",Furnishings,15,83.49
"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",Furnishings,15,1304.13
"Newell 332",Art,15,67.03
"Avery 489",Labels,15,159.39
"Green Bar Computer Printout Paper",Paper,15,857.38
"Acme Rosewood Handle Letter Opener",Supplies,15,43.67
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Accessories,15,150.67
