State,Sales,Profit
California,39980.32,4554.31
Ohio,33626.43,4523.39
Washington,23117.16,4940.51
Texas,15271.11,2701.90
"North Carolina",15151.96,3649.68
Tennessee,10531.99,1473.71
"New York",9829.98,2205.12
Michigan,9178.39,2088.55
Virginia,8161.83,1037.84
Pennsylvania,7867.8,1365.99
Mississippi,5535.59,-246.07
Nebraska,5294.46,833.60
Arkansas,4916.06,214.94
Illinois,2134.02,537.19
Minnesota,2037.24,-3.11
Colorado,1974.8,703.82
Arizona,1902.59,186.65
Connecticut,1221.81,376.94
Florida,1125.93,251.91
Massachusetts,1119.84,162.38
Louisiana,970.78,400.98
Indiana,784.49,231.90
"New Jersey",671.71,307.47
Oregon,467.71,-129.92
Georgia,406.01,110.44
"District of Columbia",335.89,76.77
Missouri,215.14,90.46
"New Hampshire",117.28,-16.49
Alabama,90.55,38.81
Maryland,59.7,14.56
"South Dakota",44.03,-2.02
