Customer_ID,Order_ID,Order_Date,Product_ID,Sales
DK-13375,CA-2017-100006,2017-09-07,TEC-PH-10002075,377.97
EB-13705,CA-2017-100090,2017-07-08,FUR-TA-10003715,502.488
NF-18475,CA-2017-100293,2017-03-14,OFF-PA-10000176,91.056
JC-15340,CA-2017-100328,2017-01-28,OFF-BI-10000343,3.928
JM-15655,CA-2017-100363,2017-04-08,OFF-FA-10000611,2.368
BW-11065,CA-2017-100391,2017-05-25,OFF-PA-10001471,14.62
KM-16720,CA-2017-100678,2017-04-18,OFF-AR-10001868,2.688
LE-16810,CA-2017-100706,2017-12-16,TEC-AC-10001314,99.98
NG-18355,CA-2017-100762,2017-11-24,OFF-AR-10000380,151.92
CS-12505,CA-2017-100860,2017-03-26,OFF-LA-10001982,18.75
EH-14125,CA-2017-100867,2017-10-19,TEC-PH-10004922,321.552
DR-12940,CA-2017-100881,2017-03-28,TEC-PH-10003273,302.376
SV-20785,CA-2017-100895,2017-06-02,OFF-AR-10004511,8.56
FH-14275,CA-2017-100916,2017-10-21,OFF-ST-10003479,194.7
DB-13360,CA-2017-100972,2017-11-19,OFF-PA-10000357,166.44
MC-17575,CA-2017-101147,2017-12-02,OFF-AP-10004249,2.394
DM-12955,CA-2017-101175,2017-12-09,OFF-ST-10004950,100.704
MM-17920,CA-2017-101266,2017-08-27,OFF-PA-10002986,13.36
TW-21025,CA-2017-101364,2017-12-22,OFF-BI-10003984,296.712
AS-10630,CA-2017-101392,2017-12-07,OFF-ST-10000532,269.36
AY-10555,CA-2017-101427,2017-12-26,OFF-AR-10002257,8.016
BP-11230,CA-2017-101462,2017-04-20,FUR-FU-10000409,59.92
SD-20485,CA-2017-101476,2017-09-12,TEC-MA-10000029,69.99
CS-12250,CA-2017-101560,2017-11-28,FUR-FU-10003773,397.6
MC-18100,CA-2017-101602,2017-12-15,TEC-PH-10000169,40.68
KB-16240,CA-2017-101770,2017-03-31,OFF-BI-10001097,1.869
FG-14260,CA-2017-101833,2017-11-17,OFF-PA-10003591,34.44
TS-21370,CA-2017-101931,2017-10-28,OFF-BI-10004140,7.184
RA-19915,CA-2017-102008,2017-09-30,OFF-PA-10004092,48.94
JD-16015,CA-2017-102085,2017-10-04,OFF-LA-10002475,29.24
DH-13075,CA-2017-102274,2017-11-21,TEC-PH-10002923,36.99
EH-13990,CA-2017-102295,2017-11-24,FUR-CH-10001714,120.712
AI-10855,CA-2017-102330,2017-12-29,OFF-LA-10003923,88.8
IM-15055,CA-2017-102645,2017-01-23,OFF-PA-10001804,40.08
AY-10555,CA-2017-102652,2017-04-06,FUR-FU-10000747,91.96
